date,pm25,pm10
2022-07-10,9.153846153846153,14.692307692307692
2022-07-11,8.76923076923077,13.846153846153847
2022-07-12,8.384615384615383,13.0
2022-07-13,8.0,20.0
2022-07-14,13.0,9.0
2022-07-15,8.0,21.0
2022-07-16,13.0,21.0
2022-07-17,10.0,23.0
2022-07-18,11.0,25.0
2022-07-19,14.0,36.0
2022-07-20,18.0,21.0
2022-07-21,19.0,17.0
2022-07-22,10.0,16.0
2022-07-23,13.0,17.0
2022-07-24,13.0,14.0
2022-07-25,11.0,21.0
2022-07-26,15.0,22.0
2022-07-27,16.0,32.0
2022-07-28,25.0,22.0
2022-07-29,18.0,25.0
2022-07-30,16.0,24.0
2022-07-31,13.0,26.0
2022-08-01,10.0,23.25
2022-08-02,9.5,20.5
2022-08-03,9.0,17.75
2022-08-04,8.5,15.0
2022-08-05,8.0,22.0
2022-08-06,12.0,19.0
2022-08-07,10.0,12.0
2022-08-08,8.0,19.0
2022-08-09,16.0,21.0
2022-08-10,14.0,20.0
2022-08-11,12.0,19.0
2022-08-12,11.0,24.0
2022-08-13,16.0,21.0
2022-08-14,12.0,21.0
2022-08-15,11.0,21.0
2022-08-16,14.0,19.0
2022-08-17,11.0,20.0
2022-08-18,14.0,19.0
2022-08-19,10.0,31.0
2022-08-20,16.0,20.0
2022-08-21,9.0,22.0
2022-08-22,14.0,19.0
2022-08-23,12.0,22.0
2022-08-24,11.0,26.0
2022-08-25,11.0,25.685714285714287
2022-08-26,11.0,25.37142857142857
2022-08-27,11.0,25.057142857142857
2022-08-28,11.0,24.742857142857144
2022-08-29,11.0,24.428571428571427
2022-08-30,11.0,24.114285714285714
2022-08-31,11.0,23.8
2022-09-01,11.0,23.485714285714288
2022-09-02,11.0,23.17142857142857
2022-09-03,11.0,22.857142857142858
2022-09-04,11.0,22.542857142857144
2022-09-05,11.0,22.228571428571428
2022-09-06,11.0,21.914285714285715
2022-09-07,11.0,21.6
2022-09-08,11.0,21.285714285714285
2022-09-09,11.0,20.97142857142857
2022-09-10,11.0,20.65714285714286
2022-09-11,11.0,20.34285714285714
2022-09-12,11.0,20.02857142857143
2022-09-13,11.0,19.714285714285715
2022-09-14,11.0,19.4
2022-09-15,11.0,19.085714285714285
2022-09-16,11.0,18.771428571428572
2022-09-17,11.0,18.457142857142856
2022-09-18,11.0,18.142857142857142
2022-09-19,11.0,17.82857142857143
2022-09-20,11.0,17.514285714285712
2022-09-21,11.0,17.2
2022-09-22,11.0,16.885714285714286
2022-09-23,11.0,16.57142857142857
2022-09-24,11.0,16.25714285714286
2022-09-25,11.0,15.942857142857143
2022-09-26,11.0,15.628571428571428
2022-09-27,11.0,15.314285714285715
2022-09-28,11.0,15.0
2022-09-29,11.0,19.0
