date,pm25,pm10,co,so2,no2,o3
2024-06-20,29.5,52.8,450.0,0.7,4.32,24.0
2024-06-21,25.38,51.012499999999996,495.0,0.7,5.13,25.05
2024-06-22,21.259999999999998,49.224999999999994,540.0,0.7,5.9399999999999995,26.1
2024-06-23,17.14,47.4375,585.0,0.7,6.75,27.15
2024-06-24,13.02,45.65,630.0,0.7,7.56,28.2
2024-06-25,7.75,30.8,900.0,0.7,21.6,25.2
2024-06-26,11.030000000000001,35.85,855.0,0.7,18.630000000000003,28.65
2024-06-27,14.31,40.9,810.0,0.7,15.66,32.1
2024-06-28,17.59,45.95,765.0,0.7,12.690000000000001,35.55
2024-06-29,20.87,51.0,720.0,0.7,9.72,39.0
2024-06-30,12.605,36.5,630.0,0.7,9.72,35.7
2024-07-01,4.34,22.0,540.0,0.7,9.72,32.4
2024-07-02,5.89,25.4375,675.0,0.7,10.935,29.4
2024-07-03,7.4399999999999995,28.875,810.0,0.7,12.15,26.4
2024-07-04,8.989999999999998,32.3125,945.0,0.7,13.365,23.4
2024-07-05,10.54,35.75,1080.0,0.7,14.58,20.4
2024-07-06,9.225,33.275,967.5,0.7,14.351538461538462,29.4
2024-07-07,7.91,30.8,855.0,0.7,14.123076923076923,38.4
2024-07-08,9.92,36.3,810.0,0.7,13.894615384615385,21.6
2024-07-09,7.904999999999999,32.45,810.0,0.7,13.666153846153847,28.8
2024-07-10,5.89,28.6,810.0,0.7,13.437692307692307,36.0
2024-07-11,9.093333333333334,30.8,840.0,0.7,13.20923076923077,27.200000000000003
2024-07-12,12.296666666666667,33.0,870.0,0.7,12.980769230769232,18.400000000000002
2024-07-13,15.5,35.2,900.0,0.7,12.752307692307692,9.6
2024-07-14,4.34,18.7,1350.0,0.7,12.523846153846154,13.2
2024-07-15,4.805,18.975,1125.0,0.7,12.295384615384616,16.799999999999997
2024-07-16,5.27,19.25,900.0,0.7,12.066923076923077,20.4
2024-07-17,6.199999999999999,23.925,1260.0,0.7,11.838461538461539,20.666666666666664
2024-07-18,7.13,28.6,1620.0,0.7,11.61,20.933333333333334
2024-07-19,6.51,33.0,1080.0,0.7,11.381538461538462,21.2
2024-07-20,10.008333333333333,38.333333333333336,1290.0,0.8166666666666667,11.153076923076924,21.466666666666665
2024-07-21,13.506666666666668,43.666666666666664,1500.0,0.9333333333333332,10.924615384615386,21.733333333333334
2024-07-22,17.005000000000003,49.0,1710.0,1.0499999999999998,10.696153846153846,22.0
2024-07-23,20.503333333333334,54.33333333333333,1920.0,1.1666666666666665,10.467692307692309,22.266666666666666
2024-07-24,24.001666666666665,59.666666666666664,2130.0,1.2833333333333332,10.239230769230769,22.533333333333335
2024-07-25,27.5,65.0,2340.0,1.4,10.010769230769231,22.8
2024-07-26,7.13,30.8,1800.0,0.7,9.782307692307693,38.4
2024-07-27,10.85,33.0,1350.0,0.7,9.553846153846155,10.8
2024-07-28,11.16,33.0,1395.0,0.7,9.325384615384616,7.800000000000001
2024-07-29,11.47,33.0,1440.0,0.7,9.096923076923078,4.8
2024-07-30,8.68,28.6,1440.0,0.7,8.868461538461538,7.2
2024-07-31,8.22,23.65,180.0,0.7,8.64,27.0
2024-08-01,5.58,26.4,180.0,0.7,12.96,39.6
2024-08-02,10.23,34.099999999999994,180.0,0.7,10.8,35.4
