pm25,pm10,date
27.77,28.37,2024-08-30
27.77,28.37,2024-08-31
27.77,28.37,2024-09-01
27.77,28.37,2024-09-02
27.77,28.37,2024-09-03
27.77,28.37,2024-09-04
27.77,28.37,2024-09-05
27.77,28.37,2024-09-06
27.77,28.37,2024-09-07
27.77,28.37,2024-09-08
27.77,28.37,2024-09-09
27.77,28.37,2024-09-10
27.77,28.37,2024-09-11
27.77,28.37,2024-09-12
27.77,28.37,2024-09-13
27.77,28.37,2024-09-14
27.77,28.37,2024-09-15
27.77,28.37,2024-09-16
27.77,28.37,2024-09-17
27.77,28.37,2024-09-18
27.77,28.37,2024-09-19
27.77,28.37,2024-09-20
27.77,28.37,2024-09-21
27.77,28.37,2024-09-22
27.77,28.37,2024-09-23
27.77,28.37,2024-09-24
27.77,28.37,2024-09-25
27.77,28.37,2024-09-26
27.77,28.37,2024-09-27
27.77,28.37,2024-09-28
27.77,28.37,2024-09-29
27.77,28.37,2024-09-30
27.77,28.37,2024-10-01
27.77,28.37,2024-10-02
27.77,28.37,2024-10-03
27.77,28.37,2024-10-04
27.77,28.37,2024-10-05
27.77,28.37,2024-10-06
27.77,28.37,2024-10-07
27.77,28.37,2024-10-08
27.77,28.37,2024-10-09
27.77,28.37,2024-10-10
27.77,28.37,2024-10-11
27.77,28.37,2024-10-12
27.77,28.37,2024-10-13
27.77,28.37,2024-10-14
18.33,25.0,2024-10-15
15.0,46.0,2024-10-16
27.0,32.0,2024-10-17
24.0,31.0,2024-10-18
19.0,32.0,2024-10-19
22.0,22.0,2024-10-20
21.0,28.0,2024-10-21
26.0,47.0,2024-10-22
51.0,46.0,2024-10-23
38.0,53.0,2024-10-24
48.0,37.0,2024-10-25
41.0,6.0,2024-10-26
4.0,34.0,2024-10-27
26.0,27.0,2024-10-28
24.0,17.0,2024-10-29
12.0,26.0,2024-10-30
31.0,63.0,2024-10-31
81.0,70.0,2024-11-01
95.0,31.0,2024-11-02
42.0,22.0,2024-11-03
18.0,29.0,2024-11-04
36.0,53.0,2024-11-05
58.0,57.0,2024-11-06
57.0,59.0,2024-11-07
55.0,64.0,2024-11-08
79.0,59.0,2024-11-09
80.0,58.0,2024-11-10
82.0,22.0,2024-11-11
25.0,39.0,2024-11-12
36.0,51.0,2024-11-13
49.0,48.0,2024-11-14
50.0,63.0,2024-11-15
84.0,72.0,2024-11-16
80.0,40.0,2024-11-17
36.0,35.0,2024-11-18
33.0,25.0,2024-11-19
19.0,19.0,2024-11-20
16.0,26.0,2024-11-21
22.0,37.0,2024-11-22
35.0,42.0,2024-11-23
40.0,47.0,2024-11-24
50.0,44.0,2024-11-25
48.0,47.0,2024-11-26
38.0,56.0,2024-11-27
45.0,58.0,2024-11-28
43.0,75.0,2024-11-29
77.0,68.0,2024-11-30
58.0,63.0,2024-12-01
64.0,48.0,2024-12-02
44.0,53.0,2024-12-03
53.0,44.0,2024-12-04
41.0,34.0,2024-12-05
30.0,52.0,2024-12-06
44.0,58.0,2024-12-07
76.0,50.0,2024-12-08
54.0,42.0,2024-12-09
47.0,26.0,2024-12-10
26.0,36.0,2024-12-11
38.0,35.0,2024-12-12
37.0,20.0,2024-12-13
27.77,28.37,2024-12-14
27.77,28.37,2024-12-15
27.77,28.37,2024-12-16
27.77,28.37,2024-12-17
27.77,28.37,2024-12-18
27.77,28.37,2024-12-19
27.77,28.37,2024-12-20
61.0,57.0,2024-12-21
66.0,22.0,2024-12-22
27.0,11.0,2024-12-23
12.0,26.0,2024-12-24
28.0,35.0,2024-12-25
37.0,41.0,2024-12-26
21.0,26.0,2024-12-27
43.33,43.0,2024-12-28
38.0,41.0,2024-12-29
27.77,28.37,2024-12-30
72.33,64.0,2024-12-31
103.0,54.0,2025-01-01
85.0,39.0,2025-01-02
61.0,44.33,2025-01-03
57.33,65.0,2025-01-04
77.0,80.0,2025-01-05
111.0,86.0,2025-01-06
107.0,70.0,2025-01-07
78.0,46.0,2025-01-08
50.0,53.0,2025-01-09
61.0,44.33,2025-01-10
46.33,63.0,2025-01-11
70.0,62.0,2025-01-12
79.0,46.0,2025-01-13
44.0,20.0,2025-01-14
22.0,49.0,2025-01-15
70.0,65.0,2025-01-16
100.0,75.0,2025-01-17
115.0,64.0,2025-01-18
85.0,66.0,2025-01-19
91.0,84.0,2025-01-20
113.0,91.0,2025-01-21
122.0,82.0,2025-01-22
106.0,70.0,2025-01-23
64.67,45.0,2025-01-24
62.0,60.0,2025-01-25
97.0,53.33,2025-01-26
27.77,28.37,2025-01-27
27.77,28.37,2025-01-28
27.77,28.37,2025-01-29
27.77,28.37,2025-01-30
27.77,28.37,2025-01-31
27.77,28.37,2025-02-01
19.33,23.0,2025-02-02
28.0,16.0,2025-02-03
18.0,28.0,2025-02-04
22.0,50.0,2025-02-05
60.0,49.0,2025-02-06
68.0,45.0,2025-02-07
52.0,52.0,2025-02-08
48.0,46.0,2025-02-09
49.0,44.0,2025-02-10
49.0,41.0,2025-02-11
56.0,10.0,2025-02-12
10.0,13.0,2025-02-13
14.0,15.0,2025-02-14
