date, pm25, pm10
2023/5/19, 45, 38
2023/5/20, 39, 27
2023/5/21, 25, 29
2023/5/22, 27, 28
2023/5/23, 22, 27
2023/5/24, 18, 24
2023/5/25, 14, 22
2023/5/26, 14, 18
2023/5/27, 13, 9
2023/5/28, 9, 11
2023/5/29, 10, 15
2023/5/30, 12, 21
2023/5/31, 16, 22
2023/6/1, 12, 18
2023/6/2, 11, 28
2023/6/3, 20, 25
2023/6/4, 18, 23
2023/6/5, 19, 21
2023/6/6, 19, 13
2023/6/7, 8, 18
2023/6/8, 12, 24
2023/6/9, 15, 22
2023/6/10, 16, 
2023/6/12, 17, 14
2023/6/13, 11, 13
2023/6/14, 9, 14
2023/6/15, 7, 17
2023/6/16, 11, 16
2023/6/17, 8, 11
2023/6/18, 6, 14
2023/6/19, 9, 17
2023/6/20, 10, 16
2023/6/21, 10, 19
2023/6/22, 12, 20
2023/6/23, 14, 19
2023/6/24, 12, 20
2023/6/25, 14, 25
2023/6/26, 16, 39
2023/6/27, 26, 36
2023/6/28, 28, 40
2023/6/29, 30, 38
2023/6/30, 22, 
2023/1/2, 9, 11
2023/1/3, 8, 15
2023/1/4, 11, 15
2023/1/5, 17, 21
2023/1/6, 24, 17
2023/1/7, 18, 21
2023/1/8, 27, 13
2023/1/9, 12, 12
2023/1/10, 9, 14
2023/1/11, 13, 19
2023/1/12, 18, 35
2023/1/13, 50, 38
2023/1/14, 43, 41
2023/1/15, 51, 18
2023/1/16, 22, 9
2023/1/17, 7, 
2023/1/19, 25, 15
2023/1/20, 18, 17
2023/1/21, 23, 32
2023/1/22, 47, 26
2023/1/23, 37, 15
2023/1/24, 21, 5
2023/1/25, 5, 22
2023/1/26, 25, 18
2023/1/27, 25, 5
2023/1/28, 6, 23
2023/1/29, 24, 42
2023/1/30, 39, 42
2023/1/31, 45, 
2023/2/10, 18, 23
2023/2/11, 25, 24
2023/2/12, 26, 27
2023/2/13, 32, 28
2023/2/14, 38, 10
2023/2/15, 10, 32
2023/2/16, 37, 30
2023/2/17, 37, 28
2023/2/18, 34, 27
2023/2/19, 33, 22
2023/2/20, 25, 38
2023/2/21, 46, 32
2023/2/22, 34, 29
2023/2/23, 28, 28
2023/2/24, 28, 44
2023/2/25, 60, 38
2023/2/26, 45, 28
2023/2/27, 32, 17
2023/2/28, 18, 28
2023/3/1, 29, 30
2023/3/2, 33, 40
2023/3/3, 48, 40
2023/3/4, 45, 47
2023/3/5, 63, 44
2023/3/6, 59, 32
2023/3/7, 32, 31
2023/3/8, 31, 27
2023/3/9, 26, 42
2023/3/10, 40, 32
2023/3/11, 31, 29
2023/3/12, 32, 33
2023/3/13, 40, 32
2023/3/14, 39, 30
2023/3/15, 31, 19
2023/3/16, 20, 20
2023/3/17, 22, 21
2023/3/18, 22, 15
2023/3/19, 18, 
2023/3/21, 31, 38
2023/3/22, 49, 42
2023/3/23, 54, 37
2023/3/24, 44, 33
2023/3/25, 41, 28
2023/3/26, 35, 15
2023/3/27, 15, 11
2023/3/28, 10, 18
2023/3/29, 20, 22
2023/3/30, 22, 23
2023/3/31, 30, 
2022/10/1, 7, 
2022/10/5, 12, 14
2022/10/6, 13, 19
2022/10/7, 16, 12
2022/10/8, 10, 9
2022/10/9, 8, 17
2022/10/10, 22, 15
2022/10/11, 17, 23
2022/10/12, 23, 33
2022/10/13, 30, 12
2022/10/14, 12, 17
2022/10/15, 11, 22
2022/10/16, 21, 40
2022/10/17, 37, 49
2022/10/18, 49, 8
2022/10/19, 10, 6
2022/10/20, 3, 17
2022/10/21, 12, 16
2022/10/22, 16, 33
2022/10/23, 34, 29
2022/10/24, 35, 17
2022/10/25, 20, 32
2022/10/26, 32, 25
2022/10/27, 23, 24
2022/10/28, 22, 27
2022/10/29, 27, 36
2022/10/30, 43, 26
2022/10/31, 26, 29
2022/11/1, 26, 30
2022/11/2, 27, 43
2022/11/3, 43, 40
2022/11/4, 43, 28
2022/11/5, 36, 17
2022/11/6, 19, 23
2022/11/7, 23, 22
2022/11/8, 20, 19
2022/11/9, 18, 19
2022/11/10, 17, 19
2022/11/11, 18, 19
2022/11/12, 19, 14
2022/11/13, 16, 15
2022/11/14, 15, 23
2022/11/15, 21, 
2022/11/25, 11, 22
2022/11/26, 14, 13
2022/11/27, 10, 19
2022/11/28, 13, 23
2022/11/29, 19, 31
2022/11/30, 25, 13
2022/12/1, 11, 11
2022/12/2, 10, 8
2022/12/3, 6, 14
2022/12/4, 14, 17
2022/12/5, 22, 12
2022/12/6, 12, 18
2022/12/7, 19, 17
2022/12/8, 18, 12
2022/12/9, 15, 16
2022/12/10, 20, 22
2022/12/11, 29, 28
2022/12/12, 33, 44
2022/12/13, 57, 43
2022/12/14, 53, 41
2022/12/15, 47, 33
2022/12/16, 39, 8
2022/12/17, 7, 11
2022/12/18, 13, 21
2022/12/19, 15, 18
2022/12/20, 15, 6
2022/12/21, 6, 35
2022/12/22, 40, 43
2022/12/23, 47, 39
2022/12/24, 38, 33
2022/12/25, 29, 30
2022/12/26, 31, 23
2022/12/27, 30, 
2022/12/29, 19, 16
2022/12/30, 17, 24
2022/12/31, 25, 21
2023/1/1, 26, 12
2022/7/13, 8, 20
2022/7/14, 13, 9
2022/7/15, 8, 21
2022/7/16, 13, 21
2022/7/17, 10, 23
2022/7/18, 11, 25
2022/7/19, 14, 36
2022/7/20, 18, 21
2022/7/21, 19, 17
2022/7/22, 10, 16
2022/7/23, 13, 17
2022/7/24, 13, 14
2022/7/25, 11, 21
2022/7/26, 15, 22
2022/7/27, 16, 32
2022/7/28, 25, 22
2022/7/29, 18, 25
2022/7/30, 16, 24
2022/7/31, 13, 26
2022/8/1, 10, 
2022/8/5, 8, 22
2022/8/6, 12, 19
2022/8/7, 10, 12
2022/8/8, 8, 19
2022/8/9, 16, 21
2022/8/10, 14, 20
2022/8/11, 12, 19
2022/8/12, 11, 24
2022/8/13, 16, 21
2022/8/14, 12, 21
2022/8/15, 11, 21
2022/8/16, 14, 19
2022/8/17, 11, 20
2022/8/18, 14, 19
2022/8/19, 10, 31
2022/8/20, 16, 20
2022/8/21, 9, 22
2022/8/22, 14, 19
2022/8/23, 12, 22
2022/8/24, 11, 26
2022/8/25, 11, 
2022/9/29, 11, 19
2022/9/30, 17, 6
2022/4/1, 8, 3
2022/4/2, 2, 6
2022/4/3, 6, 20
2022/4/4, 17, 
2022/4/10, 26, 25
2022/4/11, 26, 
2022/4/20, 7, 16
2022/4/21, 15, 
2022/4/28, 14, 19
2022/4/29, 17, 9
2022/4/30, 8, 9
2022/5/1, 9, 4
2022/5/2, 2, 6
2022/5/3, 4, 19
2022/5/4, 21, 29
2022/5/5, 37, 17
2022/5/6, 22, 15
2022/5/7, 18, 17
2022/5/8, 21, 22
2022/5/9, 17, 23
2022/5/10, 21, 28
2022/5/11, 17, 29
2022/5/12, 20, 25
2022/5/13, 21, 22
2022/5/14, 19, 19
2022/5/15, 12, 17
2022/5/16, 10, 10
2022/5/17, 6, 12
2022/5/18, 9, 20
2022/5/19, 17, 16
2022/5/20, 14, 13
2022/5/21, 8, 14
2022/5/22, 9, 19
2022/5/23, 13, 31
2022/5/24, 29, 31
2022/5/25, 24, 32
2022/5/26, 24, 26
2022/5/27, 17, 25
2022/5/28, 18, 21
2022/5/29, 15, 25
2022/5/30, 18, 26
2022/5/31, 18, 27
2022/6/1, 19, 22
2022/6/2, 14, 21
2022/6/3, 13, 17
2022/6/4, 10, 18
2022/6/5, 12, 31
2022/6/6, 34, 20
2022/6/7, 12, 16
2022/6/8, 9, 24
2022/6/9, 18, 21
2022/6/10, 14, 27
2022/6/11, 21, 20
2022/6/12, 13, 22
2022/6/13, 13, 26
2022/6/14, 16, 25
2022/6/15, 15, 25
2022/6/16, 14, 25
2022/6/17, 14, 24
2022/6/18, 18, 22
2022/6/19, 15, 22
2022/6/20, 15, 20
2022/6/21, 13, 29
2022/6/22, 16, 23
2022/6/23, 12, 27
2022/6/24, 20, 21
2022/6/25, 14, 21
2022/6/26, 13, 23
2022/6/27, 10, 24
2022/6/28, 13, 21
2022/6/29, 11, 24
2022/6/30, 13, 
2022/1/3, 30, 38
2022/1/4, 41, 28
2022/1/5, 31, 26
2022/1/6, 29, 
2022/1/15, 33, 47
2022/1/16, 39, 35
2022/1/17, 37, 15
2022/1/18, 15, 11
2022/1/19, 10, 26
2022/1/20, 24, 28
2022/1/21, 30, 43
2022/1/22, 35, 38
2022/1/23, 41, 47
2022/1/24, 47, 
2022/1/27, 23, 33
2022/1/28, 32, 21
2022/1/29, 26, 11
2022/1/30, 10, 8
2022/1/31, 8, 6
2022/2/1, 5, 6
2022/2/2, 4, 5
2022/2/3, 4, 3
2022/2/4, 2, 3
2022/2/5, 2, 14
2022/2/6, 16, 23
2022/2/7, 29, 26
2022/2/8, 32, 19
2022/2/9, 24, 16
2022/2/10, 17, 20
2022/2/11, 22, 17
2022/2/12, 18, 18
2022/2/13, 18, 7
2022/2/14, 4, 11
2022/2/15, 9, 17
2022/2/16, 22, 25
2022/2/17, 31, 21
2022/2/18, 27, 23
2022/2/19, 26, 5
2022/2/20, 4, 6
2022/2/21, 5, 6
2022/2/22, 5, 6
2022/2/23, 4, 10
2022/2/24, 9, 7
2022/2/25, 6, 13
2022/2/26, 10, 16
2022/2/27, 18, 24
2022/2/28, 28, 23
2022/3/1, 19, 17
2022/3/2, 19, 26
2022/3/3, 22, 26
2022/3/4, 26, 17
2022/3/5, 18, 21
2022/3/6, 26, 13
2022/3/7, 14, 29
2022/3/8, 21, 32
2022/3/9, 23, 27
2022/3/10, 23, 
2022/3/12, 18, 23
2022/3/13, 24, 26
2022/3/14, 29, 
2022/3/17, 32, 37
2022/3/18, 50, 30
2022/3/19, 43, 29
2022/3/20, 35, 34
2022/3/21, 42, 23
2022/3/22, 19, 22
2022/3/23, 20, 19
2022/3/24, 20, 29
2022/3/25, 30, 35
2022/3/26, 23, 31
2022/3/27, 21, 21
2022/3/28, 17, 
2022/3/30, 24, 13
2022/3/31, 14, 6
2021/12/29, 12, 24
2021/12/30, 26, 25
2021/12/31, 29, 28
2022/1/1, 29, 25
2022/1/2, 26, 29
2025/2/2, , 23
2024/12/31, , 64
2025/1/4, , 65
2025/1/11, , 63
2025/1/24, , 45
2024/10/15, , 25
2024/12/21, , 57
2024/12/28, , 43
2024/4/23, , 31
2024/5/11, , 11
2024/5/14, , 6
2024/3/17, , 33
2023/11/14, , 45
2023/11/19, , 54
2023/11/25, , 55
2023/11/29, , 33
2023/7/11, , 47
2023/7/18, , 36
2023/7/23, , 25
2023/7/27, , 36
2023/8/13, , 40
2023/9/17, , 21
2023/4/2, , 28
2023/4/23, , 20
2023/6/11, , 18
2023/1/18, , 22
2023/2/9, , 17
2023/3/20, , 28
2022/10/4, , 11
2022/11/24, , 13
2022/12/28, , 16
2022/7/12, , 13
2022/8/4, , 15
2022/9/28, , 15
2022/4/9, , 27
2022/4/19, , 10
2022/4/27, , 18
2022/1/14, , 38
2022/1/26, , 25
2022/3/11, , 19
2022/3/16, , 29
2022/3/29, , 20
2021/12/28, , 12
